MusteriKodu,MusteriBolge3,MusteriBolge4,SatisKanali,MusteriUnvan,MusteriTabelaAdi,MusteriCesidi,KoordinatX,KoordinatY,MapProfileScore,MapPopulationScore,Mapin Segment,place_name,visitor_count
702072,Istanbul Anadolu,KADIKÖY,MODERN,BS MODA EGLENCE ISLETMECILIGI EMLAK BILISIMTIC. LTD. STI,REÇETE MODA,Modern Pub & Bistro,'40.98466124,'29.02637478,"78,1147","64,8014",D3-B,En Moda Cafe,82
434254,Istanbul Anadolu,KADIKÖY,MODERN,BENKAR TUR.TIC.LTD.STI.,BELFAST 1,Modern Pub & Bistro,'40.98549847,'29.02642775,"78,6094","65,2431",D3-B,BELFAST IRISH PUB,80
1000013764,Istanbul Anadolu,KADIKÖY,MODERN,DMR RESTORAN GIDA TURIZM VE INSAAT SAN VE TIC.LTD.STI.,ECHOES,Modern Pub & Bistro,'40.98666376,'29.02671300,"79,651","62,457",D3-B,AKSİ Moda,77
969895,Istanbul Anadolu,KADIKÖY,MODERN,AKSI MODA TURIZM GIDA VE TIC.LTD.STI.,AKSI MODA,Modern Pub & Bistro,'40.98542897,'29.02652690,"76,5671","65,9693",D3-B,AKSİ Moda,77
876708,Istanbul Anadolu,KADIKÖY,MODERN,BLACK PUB / EVREN SAT VE SERTAÇ SUNE ORT.,MODA KALDIRIMI BLACK,Modern Pub & Bistro,'40.98718682,'29.02565762,"78,9545","64,6249",D3-B,Kaldırım Pub,76
964355,Istanbul Anadolu,KADIKÖY,MODERN,DRAGON SARKÜTERI VE TURZ. ISL. LTD.STI.,MIZAH CAFE,Modern Pub & Bistro,'40.98975072,'29.02218890,"78,6235","64,6041",D3-B,OT RESTORAN,75
821558,Istanbul Anadolu,KADIKÖY,MODERN,KMB TURIZM INSAAT SAN VE TIC.LTD.STI.,SHINE,Modern Pub & Bistro,'40.98917900,'29.02191100,"90,2182","92,4876",D1-A,Shine Terrace Kadıköy,74
460498,Istanbul Anadolu,KADIKÖY,MODERN,GOLD CAFE BAR,HARP IRISH PUB,Modern Pub & Bistro,'40.98928700,'29.02217900,"78,3382","65,1127",D3-B,The Harp Irish Pub,73
939340,Istanbul Anadolu,KADIKÖY,TRADITIONAL,ANTEBI RESTAURANT ISLETMELERI SAN.VE TIC.LTD STI,ANTEBI RESTAURANT,Kebap,'40.97070068,'29.05272859,"78,2796","89,4794",R1-B,Antebi Restaurant Çiftehavuzlar,72
1000026064,Istanbul Anadolu,KADIKÖY,TRADITIONAL,SENSATION TURIZM GIDA ORG.ARAÇ KIR.SAN VE TIC.A.S.,SAHANE LIVE,Yeni Nesil Meyhane,'40.96405672,'29.06554844,"79,9364","92,7871",R1-B,Şahane & Bahane Yeni Nesil Meyhane - Caddebostan,71
703431,Istanbul Anadolu,KADIKÖY,MODERN,KEREM BÜLBÜLKAYA,KADIKÖY SOKAK DISKO,Gece Kulübü,'40.98765070,'29.02598980,"66,2301","62,4801",D3-C,Müptela,70
959049,Istanbul Anadolu,KADIKÖY,MODERN,BRUDER RESTORAN VE GIDA LTD STI,SOLE MIO,Kokteyl Bar,'40.97452636,'29.04706388,"92,6052","66,0198",D3-A,Sole Gastro coctail bar,68
863297,Istanbul Anadolu,KADIKÖY,TRADITIONAL,MANGALI-AHMET ILTER SENYURT,SIRAZ MEYHANE,Geleneksel Meyhane,'40.98773800,'29.02493400,"79,265","73,9174",R2-B,Şiraz Kadıköy,67
965188,Istanbul Anadolu,KADIKÖY,MODERN,AIDA RESTORAN TICARET LIMITED SIRKETI,AIDA RESTORAN,Fine Dining (D.Mutf-Sar.Evi),'40.98551806,'29.02549699,"92,8203","65,0033",D3-A,Aida Vino E Cucina,66
941917,Istanbul Anadolu,KADIKÖY,MODERN,CORE COFFEE SHOP,DOPAMINA,Modern Pub & Bistro,'40.98767730,'29.02571630,"77,903","51,8654",D4-B,Dopamine Coffee Shop - Moda,65
