place_id,place_name,Mapin Segment,visitor_count,ID,MusteriKodu,MusteriTrackKod,SonMusteriKodu,PasifNeden,PasifNedenKod,DistSapkodu,DistPanKodu,MusteriBolge1,MusteriBolge2,MusteriBolge3,MusteriBolge4,SatisKanali,lisansNo,SatisHacmi,DiageoSatisHacmi,RutAdi,RutgrupKod,SatisTemsilcisi,StTakipKod,SatisSefi,SonGuncellenmeZamani,DDegeri,RDegeri,HDegeri,BiletEtkinlik,OrtalamaHarcamaTutari,KuverSayisi,IsbirligiDuzeyi,HerseyDahil,KisMevsimi,OtelTipi,YatakSayisi,YillikMisafir,MusteriUnvan,MusteriTabelaAdi,MusteriCesidi,VergiDairesi,VergiNumarasi,Adres,KoordinatX,KoordinatY,MusteriProfili,OTZincir,TAPDKOnayTarihi,MusteriOnSegment,WebServiceCalistirmaTarihi,AcikDonem,MapProfileScore,MapPopulationScore
948493,Yeniköy Kaşıbeyaz Bosphorus,R1-A,775,5424,948493,1267550,948493,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,34203608AI,S2,D2,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R1,,Etkinlik Yok,2.000+ TL,400+,Yüksek,,,,,,BOSPHORUS RESTORAN ISLETMELERI SAN. VE TIC. A.S. KASIBEYAZ,KASIBEYAZ,Kebap,SARIYER,1800709166.0,,'41.12832387,'29.06697566,A+,yok,2018-06-19,A,2025-04-25 11:19:59,YAZ - KIS,95.7697,94.8585
849520,Filiz Restaurant,R2-B,755,5425,849520,C182185,849520,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,34202038AI,S3,D4,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R2,,Etkinlik Yok,1.000 -1.999 TL,100-199,Orta,,,,,,KÜÇÜK FILIZ RESTAURANT,FILIZ RESTAURANT,Balik,SARIYER,7800036000.0,TARABYA HAYDAR ALIYEV CAD. NO:166 SARIYER ISTANBUL,'41.13935802,'29.05550712,C,yok,2013-05-08,B,2025-04-25 11:20:03,YAZ - KIS,78.5883,76.9562
131673,Kıyı Restaurant,R1-A,732,5426,131673,C182194,131673,,,1003053,389,Reserve Kanal Md.,Reserve Istanbul Lokal,Istanbul Avrupa,SARIYER,TRADITIONAL,34202015AI,S2,D4,Presell Reserve Istanbul Lokal Kayikçi Bölgesi,2773,Reserve Istanbul LokalPersonel,8163,Reserve Ist Lokal Saha Müdürü,,D0,R1,H0,Etkinlik Yok,1.000 -1.999 TL,200-399,Yüksek,,,,,,KIYI RESTAURANT,KIYI RESTAURANT,Balik,SARIYER,5590067552.0,,'41.13925000,'29.05456300,AB,Reserve,2013-04-26,A,2025-04-25 11:20:06,YAZ - KIS,92.5145,92.0223
701699,Arnavutköy Balıkçısı Yeniköy,R1-A,730,5427,701699,C701699,701699,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,3420004274AI,S2,D3,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R1,,Etkinlik Yok,2.000+ TL,400+,Yüksek,,,,,,Yeniköy Arnavutköy balikçisi turizm anonim Sirketi ,Arnavutköy balikçisi Yeniköy ,Balik,SARIYER,9490788570.0,Yeniköy mh. Köybasi cd  no:125 B Sariyer/Istanbul,'41.11838688,'29.06735797,A+,yok,2022-10-31,A,2025-04-25 11:20:10,YAZ - KIS,93.0048,92.5453
509573,Hristo,R3-B,713,5428,509573,C182000,509573,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,3420004106AI,S3,D3,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R3,,Etkinlik Yok,500-999 TL,100-199,Orta,,,,,,BESCAN GIDA TURIZM SAN.VE TIC.LTD.STI.,HRISTO,Balik,SARIYER,1660358322.0,,'41.13937503,'29.05520508,AB,yok,2021-08-16,B,2025-04-25 11:20:14,YAZ - KIS,78.3723,65.2649
920371,Fettan Meze Ocakbaşı,D2-A,685,5429,920371,1003937,920371,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Avrupa,SARIYER,MODERN,34203191AI,S2,D1,Presell On Ist.Mod Avr. Sariyer-Kagithane Bölgesi,2750,Mertcan Yalvaç,7379,Hüsamettin Özdemir,,D2,,,Etkinlik Var,1.000 -1.999 TL,100-199,Düsük,,,,,,DIZZY TURIZM VE TICARET LIMITED SIRKETI,VAHA,Gece Kulübü,SARIYER,3020534458.0,YENIKÖY MAH. KÖYBASI CAD. NO:88/A/1 SARIYER ISTANBUL,'41.12321300,'29.07097500,AB,yok,2016-05-05,A,2025-04-25 11:20:18,YAZ - KIS,90.0297,74.9957
1000026256,Datça Balıkçısı Yeniköy,R2-B,685,5500,1000026256,C1000026256,1000026256,TAPDK Ruhsati Yok (2023),28.0,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,3420004154AI,S3,D4,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R2,,Etkinlik Yok,500-999 TL,100-199,Orta,,,,,,ENG YATIRIM INS. SAN. VE TIC. LTD.STI,YENIKÖY DENIZ RESTAURANT,Balik,SARIYER,3350461712.0,YENIKOY MAH. VAPUR ISKELESI SOK. NO 7/A,'41.12172822,'29.07077643,AB,yok,2021-11-24,B,2025-04-25 11:27:59,,,
131650,Aleko’nun Yeri Deniz Park Restoran,R1-A,678,5430,131650,C182698,131650,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,34200715AI,S2,D4,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R1,,Etkinlik Yok,1.000 -1.999 TL,200-399,Yüksek,,,,,,DENIZPARK RESTAURANT MAHMUT KAYA,DENIZPARK ALEKO NUN,Balik,SARIYER,,,'41.12234496,'29.07122796,AB,yok,2004-06-01,A,2025-04-25 11:20:24,YAZ - KIS,92.1599,90.9882
939492,Però Yeniköy,D2-A,659,5431,939492,1081480,939492,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Modern OT,Istanbul Avrupa,SARIYER,MODERN,34203530AI,S1,D1,Presell On Ist.Mod Avr. Sariyer-Kagithane Bölgesi,2750,Mertcan Yalvaç,7379,Hüsamettin Özdemir,,D2,,,Etkinlik Yok,500-999 TL,0-99,Yüksek,,,,,,DAIRE 5 TURIZM VE TIC. A.S.,PERO,Modern Pub & Bistro,SARIYER,2670669547.0,YENIKÖY MAH. DAIRE SOK. NO:5/A SARIYER ISTANBUL,'41.12222213,'29.07113984,AB,yok,2018-04-09,A,2025-04-25 11:20:28,YAZ - KIS,90.6165,81.4822
131662,Gazebo,R1-A,613,5432,131662,C182006,131662,,,1003053,389,Ulusal On-Trade Kanal MD.,Istanbul Heritage,Istanbul Avrupa,SARIYER,TRADITIONAL,34200850AI,S3,D4,Presell On Ist.Tra Avr Sariyer Bölgesi,2762,Samet Sahin,7377,Ümit Erdik,,,R1,,Etkinlik Yok,1.000 -1.999 TL,100-199,Orta,,,,,,AS-AY GIDA SAN.VE REST.ISL.ORG.TIC.LTD.STI.,GAZEBO,Balik,SARIYER,860307764.0,Köybasi Cad. 175 Yeniköy Sariyer / ISTANBUL,'41.11821800,'29.06680500,C,yok,2005-06-03,A,2025-04-25 11:20:32,YAZ - KIS,92.199,91.2079
